,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,TYPE,METADATA,COUNTRY_NAME_EN,INDICATOR_LABEL_EN
3030,20162,TZA,2021,197919.0,,,,,United Republic of Tanzania,"Teachers in primary education, both sexes (number)"
11584,20163,TZA,2021,96669.0,,,,,United Republic of Tanzania,"Teachers in primary education, female (number)"
11791,20176,TZA,2016,2357.0,,,,,United Republic of Tanzania,"Teachers in post-secondary non-tertiary education, both sexes (number)"
5570,20177,TZA,2016,720.0,,,,,United Republic of Tanzania,"Teachers in post-secondary non-tertiary education, female (number)"
7706,20182,TZA,2020,106006.0,,,,,United Republic of Tanzania,"Teachers in secondary education, both sexes (number)"
7957,20183,TZA,2021,35826.0,,,,,United Republic of Tanzania,"Teachers in secondary education, female (number)"
3100,21500,TZA,2020,75049.0,,,,,United Republic of Tanzania,"Repeaters in Grade 1 of primary education, both sexes (number)"
11162,21501,TZA,2020,34109.0,,,,,United Republic of Tanzania,"Repeaters in Grade 1 of primary education, female (number)"
2352,21502,TZA,2020,77626.0,,,,,United Republic of Tanzania,"Repeaters in Grade 2 of primary education, both sexes (number)"
4552,21503,TZA,2020,34731.0,,,,,United Republic of Tanzania,"Repeaters in Grade 2 of primary education, female (number)"
9480,21504,TZA,2020,94687.0,,,,,United Republic of Tanzania,"Repeaters in Grade 3 of primary education, both sexes (number)"
9621,21505,TZA,2020,42024.0,,,,,United Republic of Tanzania,"Repeaters in Grade 3 of primary education, female (number)"
6467,21506,TZA,2020,117762.0,,,,,United Republic of Tanzania,"Repeaters in Grade 4 of primary education, both sexes (number)"
6963,21507,TZA,2020,54358.0,,,,,United Republic of Tanzania,"Repeaters in Grade 4 of primary education, female (number)"
312,21508,TZA,2020,3309.0,,,,,United Republic of Tanzania,"Repeaters in Grade 5 of primary education, both sexes (number)"
2265,21509,TZA,2020,1580.0,,,,,United Republic of Tanzania,"Repeaters in Grade 5 of primary education, female (number)"
1573,21510,TZA,2020,10775.0,,,,,United Republic of Tanzania,"Repeaters in Grade 6 of primary education, both sexes (number)"
1639,21511,TZA,2020,5488.0,,,,,United Republic of Tanzania,"Repeaters in Grade 6 of primary education, female (number)"
7111,21512,TZA,2020,475.0,,,,,United Republic of Tanzania,"Repeaters in Grade 7 of primary education, both sexes (number)"
10334,21513,TZA,2020,202.0,,,,,United Republic of Tanzania,"Repeaters in Grade 7 of primary education, female (number)"
259,21514,TZA,2020,0.0,NIL,,,,United Republic of Tanzania,"Repeaters in grade unknown of primary education, both sexes (number)"
6989,21515,TZA,2020,0.0,NIL,,,,United Republic of Tanzania,"Repeaters in grade unknown of primary education, female (number)"
5028,21516,TZA,2020,379683.0,,,,,United Republic of Tanzania,"Repeaters in primary education, all grades, both sexes (number)"
7825,21517,TZA,2020,172492.0,,,,,United Republic of Tanzania,"Repeaters in primary education, all grades, female (number)"
5981,25001,TZA,2019,0.0,,,,,United Republic of Tanzania,"Teachers in tertiary education ISCED 5 programmes, both sexes (number)"
3088,25003,TZA,2019,10026.0,,,,,United Republic of Tanzania,"Teachers in tertiary education programmes, both sexes (number)"
4109,25005,TZA,2019,0.0,,,,,United Republic of Tanzania,"Teachers in tertiary education ISCED 5 programmes, female (number)"
7088,25007,TZA,2019,3011.0,,,,,United Republic of Tanzania,"Teachers in tertiary education programmes, female (number)"
1327,25051,TZA,2019,0.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)"
963,25052,TZA,2022,2591.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)"
10157,25053,TZA,2020,399885.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, all programmes, both sexes (number)"
11660,25055,TZA,2019,0.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, ISCED 5 programmes, female (number)"
8702,25056,TZA,2022,774.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, ISCED 8 programmes, female (number)"
9560,25057,TZA,2020,181390.0,,,,,United Republic of Tanzania,"Enrolment in tertiary education, all programmes, female (number)"
113,26420,TZA,2022,1084.0,,,,,United Republic of Tanzania,"Inbound internationally mobile students from Africa, both sexes (number)"
3314,26421,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Algeria, both sexes (number)"
10202,26422,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from Angola, both sexes (number)"
11694,26423,TZA,2022,3.0,,,,,United Republic of Tanzania,"Africa: Students from Benin, both sexes (number)"
9768,26424,TZA,2022,8.0,,,,,United Republic of Tanzania,"Africa: Students from Botswana, both sexes (number)"
9516,26425,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Burkina Faso, both sexes (number)"
3724,26426,TZA,2022,129.0,,,,,United Republic of Tanzania,"Africa: Students from Burundi, both sexes (number)"
7743,26427,TZA,2022,10.0,,,,,United Republic of Tanzania,"Africa: Students from Cameroon, both sexes (number)"
9521,26428,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Cape Verde, both sexes (number)"
10867,26429,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from the Central African Republic, both sexes (number)"
10304,26430,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Chad, both sexes (number)"
8295,26431,TZA,2022,19.0,,,,,United Republic of Tanzania,"Africa: Students from Comoros, both sexes (number)"
8394,26432,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from the Congo, both sexes (number)"
11172,26433,TZA,2022,3.0,,,,,United Republic of Tanzania,"Africa: Students from Côte d'Ivoire, both sexes (number)"
9245,26434,TZA,2022,42.0,,,,,United Republic of Tanzania,"Africa: Students from the Democratic Republic of the Congo, both sexes (number)"
3116,26435,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from Djibouti, both sexes (number)"
3722,26436,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Egypt, both sexes (number)"
6155,26437,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Equatorial Guinea, both sexes (number)"
9497,26438,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Eritrea, both sexes (number)"
11521,26439,TZA,2022,18.0,,,,,United Republic of Tanzania,"Africa: Students from Ethiopia, both sexes (number)"
6626,26440,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Gabon, both sexes (number)"
3527,26441,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from the Gambia, both sexes (number)"
6950,26442,TZA,2022,13.0,,,,,United Republic of Tanzania,"Africa: Students from Ghana, both sexes (number)"
26,26443,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from Guinea, both sexes (number)"
686,26444,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Guinea-Bissau, both sexes (number)"
4255,26445,TZA,2022,280.0,,,,,United Republic of Tanzania,"Africa: Students from Kenya, both sexes (number)"
2898,26446,TZA,2022,15.0,,,,,United Republic of Tanzania,"Africa: Students from Lesotho, both sexes (number)"
4604,26447,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from Liberia, both sexes (number)"
2743,26448,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Libya, both sexes (number)"
5905,26449,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Madagascar, both sexes (number)"
919,26450,TZA,2022,64.0,,,,,United Republic of Tanzania,"Africa: Students from Malawi, both sexes (number)"
3297,26451,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Mali, both sexes (number)"
6293,26452,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Mauritania, both sexes (number)"
2654,26453,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Mauritius, both sexes (number)"
6925,26454,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Morocco, both sexes (number)"
5632,26455,TZA,2022,9.0,,,,,United Republic of Tanzania,"Africa: Students from Mozambique, both sexes (number)"
11142,26456,TZA,2022,6.0,,,,,United Republic of Tanzania,"Africa: Students from Namibia, both sexes (number)"
9002,26457,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Niger, both sexes (number)"
28,26458,TZA,2022,27.0,,,,,United Republic of Tanzania,"Africa: Students from Nigeria, both sexes (number)"
3118,26459,TZA,2022,83.0,,,,,United Republic of Tanzania,"Africa: Students from Rwanda, both sexes (number)"
10848,26460,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Sao Tome and Principe, both sexes (number)"
8072,26461,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Senegal, both sexes (number)"
8260,26462,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Seychelles, both sexes (number)"
3087,26463,TZA,2022,3.0,,,,,United Republic of Tanzania,"Africa: Students from Sierra Leone, both sexes (number)"
11933,26464,TZA,2022,11.0,,,,,United Republic of Tanzania,"Africa: Students from Somalia, both sexes (number)"
4372,26465,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from South Africa, both sexes (number)"
725,26466,TZA,2004,0.0,NIL,,,,United Republic of Tanzania,"Africa: Students from Sudan (pre-secession), both sexes (number)"
1725,26467,TZA,2022,9.0,,,,,United Republic of Tanzania,"Africa: Students from Eswatini, both sexes (number)"
11002,26468,TZA,2022,2.0,,,,,United Republic of Tanzania,"Africa: Students from Togo, both sexes (number)"
380,26469,TZA,2022,1.0,,,,,United Republic of Tanzania,"Africa: Students from Tunisia, both sexes (number)"
9017,26470,TZA,2022,220.0,,,,,United Republic of Tanzania,"Africa: Students from Uganda, both sexes (number)"
7769,26471,TZA,2022,0.0,,,,,United Republic of Tanzania,"Africa: Students from the United Republic of Tanzania, both sexes (number)"
0,26472,TZA,2022,18.0,,,,,United Republic of Tanzania,"Africa: Students from Zambia, both sexes (number)"
1414,26473,TZA,2022,16.0,,,,,United Republic of Tanzania,"Africa: Students from Zimbabwe, both sexes (number)"
1360,26474,TZA,2022,4.0,,,,,United Republic of Tanzania,"Africa: Students from unknown countries, both sexes (number)"
4088,26475,TZA,2004,6.0,,,,,United Republic of Tanzania,"Inbound internationally mobile students from North America, the Caribbean and Central America, both sexes (number)"
5573,26476,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Antigua and Barbuda, both sexes (number)"
5543,26477,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Aruba, both sexes (number)"
9583,26478,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Bahamas, both sexes (number)"
4174,26479,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Barbados, both sexes (number)"
11756,26480,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Belize, both sexes (number)"
9993,26481,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"North America: Students from Bermuda, both sexes (number)"
7020,26482,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from the British Virgin Islands, both sexes (number)"
937,26483,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"North America: Students from Canada, both sexes (number)"
1356,26484,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Costa Rica, both sexes (number)"
4222,26485,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Cuba, both sexes (number)"
10701,26486,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Dominica, both sexes (number)"
9706,26487,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Dominican Republic, both sexes (number)"
2050,26488,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from El Salvador, both sexes (number)"
6394,26489,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Grenada, both sexes (number)"
2648,26490,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Guatemala, both sexes (number)"
6020,26491,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Haiti, both sexes (number)"
443,26492,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Honduras, both sexes (number)"
5342,26493,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Jamaica, both sexes (number)"
9229,26494,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Mexico, both sexes (number)"
11138,26495,TZA,2004,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from the Netherlands Antilles, both sexes (number)"
2327,26496,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Nicaragua, both sexes (number)"
1703,26497,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Panama, both sexes (number)"
6039,26498,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Saint Kitts and Nevis, both sexes (number)"
1893,26499,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Saint Lucia, both sexes (number)"
48,26500,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)"
2644,26501,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from Trinidad and Tobago, both sexes (number)"
2841,26502,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)"
7175,26503,TZA,2022,5.0,,,,,United Republic of Tanzania,"North America: Students from the United States, both sexes (number)"
2997,26504,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"North America: Students from unknown countries, both sexes (number)"
9401,26505,TZA,2004,0.0,NIL,,,,United Republic of Tanzania,"Inbound internationally mobile students from South America, both sexes (number)"
10519,26506,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Argentina, both sexes (number)"
2302,26507,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from the Plurinational State of Bolivia, both sexes (number)"
1251,26508,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Brazil, both sexes (number)"
10622,26509,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Chile, both sexes (number)"
4358,26510,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Colombia, both sexes (number)"
8481,26511,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Ecuador, both sexes (number)"
11407,26512,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Guyana, both sexes (number)"
4546,26513,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Paraguay, both sexes (number)"
2408,26514,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Peru, both sexes (number)"
1259,26515,TZA,2022,1.0,,,,,United Republic of Tanzania,"South America: Students from Suriname, both sexes (number)"
9444,26516,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from Uruguay, both sexes (number)"
3109,26517,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from the Bolivarian Republic of Venezuela, both sexes (number)"
3181,26518,TZA,2004,0.0,NIL,,,,United Republic of Tanzania,"South America: Students from unknown countries, both sexes (number)"
7206,26519,TZA,2022,78.0,,,,,United Republic of Tanzania,"Inbound internationally mobile students from Asia, both sexes (number)"
11263,26520,TZA,2022,22.0,,,,,United Republic of Tanzania,"Asia: Students from Afghanistan, both sexes (number)"
9667,26521,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Armenia, both sexes (number)"
4417,26522,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Azerbaijan, both sexes (number)"
9891,26523,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Bahrain, both sexes (number)"
10656,26524,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Bangladesh, both sexes (number)"
3546,26525,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Bhutan, both sexes (number)"
11538,26526,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Brunei Darussalam, both sexes (number)"
2456,26527,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Cambodia, both sexes (number)"
11674,26528,TZA,2022,8.0,,,,,United Republic of Tanzania,"Asia: Students from China, both sexes (number)"
7922,26529,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Cyprus, both sexes (number)"
5744,26530,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Timor-Leste, both sexes (number)"
2870,26531,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Georgia, both sexes (number)"
3964,26532,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Hong Kong, Special Administrative Region of China, both sexes (number)"
1612,26533,TZA,2022,19.0,,,,,United Republic of Tanzania,"Asia: Students from India, both sexes (number)"
4844,26534,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Indonesia, both sexes (number)"
2520,26535,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from the Islamic Republic of Iran, both sexes (number)"
3417,26536,TZA,2022,2.0,,,,,United Republic of Tanzania,"Asia: Students from Iraq, both sexes (number)"
5454,26537,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Israel, both sexes (number)"
1496,26538,TZA,2022,2.0,,,,,United Republic of Tanzania,"Asia: Students from Japan, both sexes (number)"
6124,26539,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Jordan, both sexes (number)"
10698,26540,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Kazakhstan, both sexes (number)"
8697,26541,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from the Democratic People's Republic of Korea, both sexes (number)"
9654,26542,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from the Republic of Korea, both sexes (number)"
670,26543,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Kuwait, both sexes (number)"
7845,26544,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Kyrgyzstan, both sexes (number)"
9248,26545,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Lao People's Democratic Republic, both sexes (number)"
4565,26546,TZA,2022,1.0,,,,,United Republic of Tanzania,"Asia: Students from Lebanon, both sexes (number)"
11895,26547,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Macao, Special Administrative Region of China, both sexes (number)"
1493,26548,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Malaysia, both sexes (number)"
2290,26549,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Maldives, both sexes (number)"
11610,26550,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Mongolia, both sexes (number)"
3618,26551,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Myanmar, both sexes (number)"
7916,26552,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Nepal, both sexes (number)"
3194,26553,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Oman, both sexes (number)"
11438,26554,TZA,2022,8.0,,,,,United Republic of Tanzania,"Asia: Students from Pakistan, both sexes (number)"
3828,26555,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Palestine, both sexes (number)"
11573,26556,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from the Philippines, both sexes (number)"
11697,26557,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Qatar, both sexes (number)"
11329,26558,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Saudi Arabia, both sexes (number)"
3759,26559,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Singapore, both sexes (number)"
1313,26560,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Sri Lanka, both sexes (number)"
3818,26561,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from the Syrian Arab Republic, both sexes (number)"
9523,26562,TZA,2022,5.0,,,,,United Republic of Tanzania,"Asia: Students from Tajikistan, both sexes (number)"
1025,26563,TZA,2022,5.0,,,,,United Republic of Tanzania,"Asia: Students from Thailand, both sexes (number)"
3839,26564,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Turkey, both sexes (number)"
7786,26565,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Turkmenistan, both sexes (number)"
1728,26566,TZA,2022,3.0,,,,,United Republic of Tanzania,"Asia: Students from the United Arab Emirates, both sexes (number)"
4402,26567,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Asia: Students from Uzbekistan, both sexes (number)"
3502,26568,TZA,2022,1.0,,,,,United Republic of Tanzania,"Asia: Students from Viet Nam, both sexes (number)"
8494,26569,TZA,2022,1.0,,,,,United Republic of Tanzania,"Asia: Students from the Yemen, both sexes (number)"
1557,26570,TZA,2022,1.0,,,,,United Republic of Tanzania,"Asia: Students from unknown countries, both sexes (number)"
3445,26571,TZA,2022,33.0,,,,,United Republic of Tanzania,"Inbound internationally mobile students from Europe, both sexes (number)"
3935,26572,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Albania, both sexes (number)"
2161,26573,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Andorra, both sexes (number)"
9021,26574,TZA,2022,1.0,,,,,United Republic of Tanzania,"Europe: Students from Austria, both sexes (number)"
11186,26575,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Belarus, both sexes (number)"
3953,26576,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Belgium, both sexes (number)"
8343,26577,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Bosnia and Herzegovina, both sexes (number)"
7753,26578,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Bulgaria, both sexes (number)"
6313,26579,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Croatia, both sexes (number)"
9456,26580,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from the Czechia, both sexes (number)"
11623,26581,TZA,2022,1.0,,,,,United Republic of Tanzania,"Europe: Students from Denmark, both sexes (number)"
7894,26582,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Estonia, both sexes (number)"
11254,26583,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Finland, both sexes (number)"
11,26584,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from France, both sexes (number)"
4232,26585,TZA,2022,19.0,,,,,United Republic of Tanzania,"Europe: Students from Germany, both sexes (number)"
4210,26586,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Greece, both sexes (number)"
8760,26587,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from the Holy See, both sexes (number)"
10503,26588,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Hungary, both sexes (number)"
176,26589,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Iceland, both sexes (number)"
1645,26590,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Ireland, both sexes (number)"
353,26591,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Italy, both sexes (number)"
4611,26592,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Latvia, both sexes (number)"
1461,26593,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Liechtenstein, both sexes (number)"
2895,26594,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Lithuania, both sexes (number)"
8840,26595,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Luxembourg, both sexes (number)"
11890,26596,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Malta, both sexes (number)"
10913,26597,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from the Republic of Moldova, both sexes (number)"
10165,26598,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Monaco, both sexes (number)"
3433,26599,TZA,2022,3.0,,,,,United Republic of Tanzania,"Europe: Students from the Netherlands, both sexes (number)"
4413,26600,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Norway, both sexes (number)"
10882,26601,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Poland, both sexes (number)"
9964,26602,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Portugal, both sexes (number)"
6681,26603,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from Romania, both sexes (number)"
4484,26604,TZA,2022,0.0,NIL,,,,United Republic of Tanzania,"Europe: Students from the Russian Federation, both sexes (number)"
